age,gender,platform,privacyNum,frequency,ifPrivacy,nationality
35,0,,4,1,0,1.0
31,0,,0,3,0,1.0
42,0,,6,1,1,0.0
30,1,,7,2,1,0.0
42,0,,7,3,1,1.0
42,0,,3,1,1,1.0
31,0,,7,1,0,0.0
32,1,,10,1,1,0.0
28,1,,9,1,1,1.0
60,0,,8,1,1,1.0
57,0,,1,0,1,0.0
55,0,,4,1,1,0.0
68,1,,5,0,1,1.0
18,0,,2,1,0,1.0
40,0,,1,2,0,0.0
39,1,,4,1,1,0.0
23,0,,8,0,1,1.0
33,0,,8,0,1,1.0
42,0,,4,1,0,0.0
23,0,,7,2,1,0.0
57,0,,0,0,0,1.0
27,0,,5,0,0,1.0
65,0,,5,0,1,0.0
31,1,,5,3,1,0.0
62,1,,10,0,1,1.0
25,0,,2,1,0,0.0
40,0,,7,1,0,0.0
28,0,,7,2,1,1.0
30,0,,8,2,1,1.0
29,1,,7,1,1,0.0
48,1,,9,2,1,0.0
20,0,,4,2,0,1.0
34,0,,7,1,1,1.0
28,0,,5,0,1,0.0
34,2,,3,0,1,0.0
38,1,,4,1,1,1.0
43,1,,1,1,1,1.0
46,1,,5,1,0,0.0
55,0,,8,1,1,0.0
38,1,,5,3,0,1.0
29,1,,3,3,0,1.0
20,2,,5,3,1,0.0
46,1,,5,1,0,0.0
30,1,,4,0,0,1.0
47,1,,0,1,0,1.0
23,0,,2,0,0,0.0
25,1,,1,2,0,0.0
41,0,,4,1,0,0.0
51,1,,3,1,0,1.0
50,1,,9,1,0,1.0
20,1,,6,2,0,1.0
28,0,,4,1,0,0.0
30,0,,5,2,0,0.0
32,1,,7,0,1,1.0
38,0,,1,4,0,1.0
40,1,,2,0,0,0.0
26,0,,0,2,0,0.0
42,0,,4,1,0,1.0
23,0,,6,1,0,1.0
40,0,,4,3,0,0.0
59,0,,5,1,0,0.0
20,0,,1,0,0,1.0
28,0,,7,0,0,1.0
53,1,,9,3,1,0.0
30,1,,8,1,1,0.0
64,0,,9,0,1,1.0
49,0,,1,1,0,1.0
32,1,,0,1,0,0.0
40,1,,7,0,1,0.0
56,1,,2,4,0,1.0
59,0,,3,1,0,1.0
25,0,,10,1,1,0.0
37,0,,8,0,1,0.0
33,1,,2,0,0,1.0
75,1,,2,0,0,1.0
70,0,,2,0,0,0.0
48,0,,7,1,1,0.0
30,0,,7,1,1,0.0
60,1,,6,1,1,1.0
65,1,,5,1,0,1.0
38,0,,10,0,1,0.0
39,1,,5,1,1,0.0
30,1,,4,4,0,1.0
31,0,,9,1,1,1.0
41,1,,4,1,1,0.0
34,1,,5,1,1,0.0
32,0,,7,3,1,0.0
43,1,,4,1,1,1.0
32,0,,3,0,0,1.0
73,0,,2,0,1,1.0
37,0,,6,0,1,0.0
49,1,,8,2,1,0.0
54,0,,5,1,1,1.0
59,0,,2,1,0,1.0
28,1,,7,3,1,0.0
42,1,,3,1,1,0.0
27,0,,7,0,1,1.0
32,1,,3,2,0,1.0
41,1,,10,1,1,0.0
56,1,,4,2,1,0.0
75,1,,4,1,1,1.0
22,0,,0,1,0,1.0
53,1,,7,2,1,0.0
32,1,,2,0,0,0.0
35,0,,0,3,0,1.0
40,1,,2,2,0,1.0
49,1,,5,1,0,0.0
50,1,,5,1,0,0.0
22,0,,6,1,0,1.0
42,0,,2,2,0,1.0
34,2,,3,0,0,0.0
28,0,,5,0,1,0.0
43,1,,1,1,0,1.0
38,1,,4,1,1,1.0
58,1,,8,0,0,0.0
41,0,,7,0,1,0.0
24,0,,5,1,1,1.0
33,1,,9,1,1,1.0
29,1,,3,1,0,1.0
46,1,,5,1,1,0.0
31,0,,7,0,1,0.0
54,0,,3,3,1,1.0
58,0,,5,1,1,1.0
50,1,,6,2,1,1.0
39,0,,5,1,1,0.0
40,1,,5,0,0,0.0
9,1,,1,2,0,1.0
40,0,,2,0,0,1.0
38,1,,7,1,1,0.0
33,1,,8,1,1,0.0
30,0,,6,1,1,1.0
31,1,,9,3,1,1.0
36,1,,6,1,1,1.0
40,1,,7,0,0,0.0
32,1,,0,1,0,0.0
56,1,,2,4,0,1.0
59,0,,3,1,0,1.0
39,1,,5,1,0,0.0
38,0,,10,0,1,0.0
30,1,,4,4,1,1.0
31,0,,9,1,1,1.0
33,1,,8,2,1,0.0
48,1,,7,1,1,0.0
33,1,,6,1,1,1.0
33,0,,2,0,1,1.0
42,0,,5,1,1,0.0
49,0,,4,0,1,0.0
23,0,,2,0,0,1.0
25,0,,5,2,0,1.0
25,0,,2,1,0,0.0
40,0,,7,1,0,0.0
30,0,,8,2,1,1.0
28,0,,7,2,1,1.0
44,1,,6,0,0,0.0
33,0,,9,1,1,0.0
35,0,,4,1,0,1.0
31,0,,0,3,0,1.0
30,0,,6,2,1,0.0
33,1,,9,3,1,0.0
30,1,,1,2,0,1.0
28,0,,1,1,0,1.0
38,1,,8,1,1,0.0
37,1,,9,1,0,0.0
41,1,,3,1,0,1.0
42,0,,4,3,0,1.0
21,1,,5,2,1,0.0
36,1,,5,2,1,0.0
21,0,,0,2,0,1.0
38,1,,8,2,1,1.0
50,0,,7,0,1,0.0
42,1,,7,0,1,0.0
43,1,,3,1,0,1.0
41,1,,1,0,0,1.0
38,1,,10,3,1,0.0
67,0,,4,1,0,0.0
74,1,,5,3,1,1.0
30,1,,8,0,1,0.0
37,1,,9,0,1,0.0
