ID,my_cat,reason,informativeness,sharing
1138,Vehicle Plate,1,4,1
1139,Paper&Document&Label,1,6,1
1140,Finger,3,5,2
1141,Person,1,7,2
1142,Person,1,7,2
1143,Clothing,1,7,2
1144,Person,1,7,2
1145,Person,1,7,2
1146,Person,3,6,2
1147,Table,3,6,2
1148,Person,3,6,2
1149,Place Identifier,2,7,2
1150,Person,1,7,2
1151,Pet,2,2,2
1152,Person,1,6,2
1153,Person,1,2,2
1154,Person,1,2,2
1155,Person,1,5,2
1156,Person,1,5,2
1157,Person,1,2,2
1158,Place Identifier,2,5,2
1159,Table,1,5,1
1160,Place Identifier,2,7,1
1161,Pet,1,6,2
1162,Screen,1,7,1
1163,Person,1,6,2
1164,Person,1,5,2
1165,Person,1,5,2
1166,Person,1,5,2
1167,Person,1,5,2
1168,Person,1,4,2
1169,Person,1,4,2
1170,Person,1,7,2
1171,Person,1,7,1
1172,Person,1,6,1
1173,Person,1,7,1
1174,Person,1,7,1
1175,Food,1,5,1
1176,Machine,1,6,1
1177,Machine,3,4,2
1178,Pet,1,7,1
1179,Clothing,3,7,2
1180,Person,3,6,2
1181,Person,3,6,2
1182,Cosmetics,3,5,2
1183,Pet,2,5,1
1184,Home interior,3,1,3
1185,Person,1,4,1
1186,Person,1,4,1
1187,Accessory,1,4,1
1188,Person,1,4,1
1189,Person,1,4,1
1190,Person,1,4,1
1191,Person,1,4,1
1192,Person,1,4,1
1193,Person,1,5,1
1194,Place Identifier,2,4,1
1195,Screen,3,4,1
1196,Person,1,5,1
1197,Clothing,1,6,1
1198,Person,1,7,1
1199,Table,1,7,1
1200,Person,1,7,1
1201,Accessory,1,2,3
1202,Person,1,7,2
1203,Person,1,5,2
1204,Accessory,1,5,2
1205,Person,1,5,2
1206,Person,1,5,2
1207,Person,1,6,2
1208,Person,1,6,2
1209,Person,1,5,2
1210,Person,1,6,2
1211,Home interior,1,1,4
1212,Book,3,2,3
1213,Table,1,1,4
1214,Scenery,2,3,2
1215,Screen,3,6,1
1216,Paper&Document&Label,2,4,2
1217,Home interior,1,6,2
1218,Person,1,6,2
1219,Person,1,7,2
1220,Person,1,3,2
1221,Person,1,2,3
1222,Person,1,2,3
1223,Place Identifier,2,1,3
1224,Place Identifier,2,3,2
1225,Place Identifier,2,7,1
1226,Book,2,6,1
1227,Book,2,5,1
1228,Screen,1,5,1
1229,Screen,1,6,1
1230,Screen,3,6,1
1231,Screen,3,6,1
1232,Place Identifier,2,7,2
1233,Clothing,1,3,3
1234,Place Identifier,2,4,3
1235,Vehicle Plate,1,6,1
1236,Food,2,5,3
1237,Finger,2,1,2
1238,Person,1,2,2
1239,Person,1,2,2
1240,Clothing,3,2,2
1241,Person,1,2,2
1242,Person,1,2,2
1243,Person,1,2,2
1244,Musical instrument,4,4,1
1245,Clothing,1,7,2
1246,Person,1,7,2
1247,Table,2,7,2
1248,Person,1,7,2
1249,Screen,3,4,2
1250,Place Identifier,2,4,2
1251,Clothing,1,7,2
1252,Musical instrument,2,5,2
1253,Book,3,3,3
1254,Paper&Document&Label,5,5,1
1255,Screen,5,6,1
1256,Vehicle Plate,1,7,2
1257,Vehicle Plate,1,7,1
1258,Musical instrument,3,5,2
1259,Vehicle Plate,1,7,2
1260,Clothing,1,4,2
1261,Person,1,6,2
1262,Book,3,5,2
1263,Person,1,6,2
1264,Book,1,2,3
1265,Home interior,2,2,3
1266,Scenery,2,2,3
1267,Pet,3,5,2
1268,Home interior,2,2,2
1269,Pet,3,2,2
1270,Screen,2,7,1
1271,Screen,1,2,3
1272,Vehicle Plate,1,7,1
1273,Person,1,4,1
1274,Person,1,4,1
1275,Accessory,1,4,1
1276,Person,1,4,1
1277,Person,1,4,1
1278,Clothing,1,4,1
1279,Person,1,4,1
1280,Person,1,4,1
1281,Person,1,4,1
1282,Person,1,4,1
1283,Book,3,7,3
1284,Table,3,5,2
1285,Paper&Document&Label,3,5,2
1286,Person,1,7,1
1287,Person,1,5,2
1288,Person,1,7,2
1289,Person,1,6,2
1290,Person,1,6,2
1291,Person,1,7,2
1292,Person,1,6,2
1293,Accessory,3,5,2
1294,Person,1,6,2
1295,Scenery,2,4,3
1296,Accessory,1,3,4
1297,Person,1,7,2
1298,Clothing,1,6,2
1299,Place Identifier,2,6,2
1300,Person,1,7,2
1301,Electronic Devices,2,5,1
1302,Food,3,6,2
1303,Person,1,5,1
1304,Person,1,5,3
1305,Person,1,5,3
1306,Person,1,7,2
1307,Scenery,2,6,2
1308,Place Identifier,2,3,3
1309,Person,1,7,1
1310,Pet,3,5,2
1311,Cigarettes,3,4,2
1312,Accessory,5,4,3
1313,Person,1,6,2
1314,Person,1,7,2
1315,Person,1,7,2
1316,Clothing,3,5,2
1317,Person,1,7,2
1318,Table,2,5,2
1319,Person,1,6,2
1320,Person,1,5,2
1321,Book,3,5,2
1322,Person,1,6,2
1323,Clothing,1,5,1
1324,Person,1,6,1
1325,Person,1,3,1
1326,Person,1,5,1
1327,Person,2,6,1
1328,Clothing,2,6,1
1329,Person,1,7,1
1330,Person,1,3,2
1331,Paper&Document&Label,5,2,2
1332,Person,1,7,2
1333,Person,1,7,2
1334,Person,1,7,2
1335,Person,1,7,2
1336,Person,1,7,2
1337,Person,1,7,2
1338,Person,1,7,2
1339,Person,1,6,2
1340,Person,1,5,2
1341,Person,1,7,2
1342,Person,1,6,1
1343,Screen,3,6,1
1344,Place Identifier,2,2,1
1345,Scenery,2,4,2
1346,Paper&Document&Label,1,4,2
1347,Screen,3,4,1
1348,Table,3,5,1
1349,Machine,3,5,1
1350,Person,1,3,3
1351,Scenery,2,6,2
1352,Scenery,2,5,1
1353,Photo,2,6,2
1354,Vehicle Plate,1,4,1
1355,Home interior,3,4,3
1356,Paper&Document&Label,3,4,3
1357,Toy,3,3,3
1358,Person,1,7,2
1359,Accessory,1,2,3
1360,Clothing,3,4,1
1361,Screen,1,4,2
1362,Clothing,2,3,2
1363,Person,1,4,2
1364,Person,1,2,2
1365,Person,1,2,2
1366,Person,1,5,2
1367,Person,1,3,1
1368,Person,1,5,1
1369,Person,1,7,2
1370,Musical instrument,3,5,3
1371,Place Identifier,2,7,1
1372,Book,3,6,1
1373,Musical instrument,3,4,2
1374,Electronic Devices,3,6,1
1375,Home interior,2,6,1
1376,Screen,3,5,1
1377,Screen,1,4,1
1378,Screen,1,3,1
1379,Clothing,1,2,3
1380,Person,1,6,1
1381,Person,1,6,1
1382,Book,3,6,2
1383,Place Identifier,2,7,2
1384,Scenery,2,2,2
1385,Clothing,1,5,2
1386,Person,1,4,1
1387,Accessory,1,3,2
1388,Person,1,4,1
1389,Clothing,1,4,1
1390,Person,1,4,1
1391,Person,1,2,2
1392,Person,1,4,1
1393,Food,2,4,3
1394,Finger,1,2,2
1395,Person,1,7,2
1396,Person,1,7,2
1397,Clothing,1,3,2
1398,Person,1,6,2
1399,Person,1,7,2
1400,Person,1,6,2
1401,Paper&Document&Label,3,5,2
1402,Toy,3,2,2
1403,Book,3,3,1
1404,Screen,3,6,1
1405,Person,5,4,1
1406,Person,1,3,1
1407,Cosmetics,3,6,2
1408,Machine,2,5,2
1409,Screen,3,5,1
1410,Table,3,5,2
1411,Person,1,7,1
1412,Person,1,7,1
1413,Person,1,7,1
1414,Person,1,2,1
1415,Person,1,2,1
1416,Person,1,2,1
1417,Person,1,2,1
1418,Person,1,7,1
1419,Scenery,2,6,2
1420,Clothing,1,7,1
1421,Person,3,2,2
1422,Vehicle Plate,1,7,1
1423,Person,1,7,2
1424,Person,1,2,2
1425,Person,1,2,2
1426,Person,1,2,2
1427,Person,1,7,2
1428,Person,1,2,2
1429,Person,1,2,2
1430,Person,1,1,2
1431,Place Identifier,2,6,2
1432,Person,1,7,2
1433,Paper&Document&Label,1,5,1
1434,Person,4,7,2
1435,Clothing,3,5,2
1436,Person,1,7,2
1437,Person,1,3,2
1438,Musical instrument,3,4,2
1439,Person,1,2,1
1440,Clothing,3,2,3
1441,Person,1,6,2
1442,Person,1,2,1
1443,Person,1,2,1
1444,Person,1,2,1
1445,Person,1,7,2
1446,Person,1,5,2
1447,Machine,2,1,3
1448,Book,3,2,2
1449,Person,1,6,1
1450,Person,1,5,1
1451,Person,1,7,1
1452,Place Identifier,2,6,1
1453,Finger,2,3,3
1454,Screen,1,4,1
1455,Home interior,3,3,2
1456,Book,3,6,2
1457,Screen,3,6,2
1458,Home interior,2,5,2
1459,Screen,2,5,2
1460,Book,3,5,2
1461,Table,1,6,2
1462,Musical instrument,3,4,3
1463,Identity,5,6,1
1464,Pet,3,2,4
1465,Person,1,6,2
1466,Person,1,7,2
1467,Person,1,6,2
1468,Person,1,7,2
1469,Person,1,7,2
1470,Person,1,6,2
1471,Person,1,4,2
1472,Place Identifier,2,3,3
1473,Vehicle Plate,1,2,3
1474,Book,3,2,3
1475,Person,1,5,2
1476,Clothing,2,3,2
1477,Person,1,7,2
1478,Person,1,6,2
1479,Person,1,6,2
1480,Toy,2,3,2
1481,Pet,3,4,2
1482,Food,2,4,4
1483,Photo,1,4,2
1484,Pet,3,3,3
1485,Person,5,7,1
1486,Person,5,7,1
1487,Person,5,7,1
1488,Clothing,5,7,1
1489,Person,5,6,1
1490,Person,5,7,1
1491,Screen,3,7,1
1492,Toy,5,7,1
1493,Person,5,7,1
1494,Place Identifier,2,5,2
1495,Vehicle Plate,1,7,2
1496,Person,1,4,1
1497,Place Identifier,2,5,3
1498,Clothing,1,4,2
1499,Person,1,5,2
1500,Person,1,5,2
1501,Musical instrument,3,3,3
1502,Clothing,2,7,3
1503,Person,3,7,3
1504,Person,1,7,2
1505,Person,3,4,3
1506,Person,1,7,2
1507,Person,1,5,2
1508,Clothing,4,5,2
1509,Person,1,4,2
1510,Person,1,7,1
1511,Person,1,7,1
1512,Person,1,6,1
1513,Clothing,3,3,1
1514,Book,3,3,3
1515,Paper&Document&Label,3,2,3
1516,Person,4,5,1
1517,Person,4,5,1
1518,Person,4,5,1
1519,Person,1,6,1
1520,Table,2,2,3
1521,Person,1,5,2
1522,Place Identifier,2,6,1
1523,Vehicle Plate,1,7,2
1524,Vehicle Plate,1,6,1
1525,Finger,2,2,3
1526,Table,2,2,3
1527,Machine,3,4,2
1528,Vehicle Plate,1,3,1
1529,Accessory,1,2,2
1530,Cigarettes,1,2,2
1531,Person,1,7,1
1532,Home interior,3,4,2
1533,Book,3,2,2
1534,Table,3,2,3
1535,Clothing,1,1,4
1536,Vehicle Plate,1,6,2
1537,Person,1,7,1
1538,Person,1,7,1
1539,Person,1,7,1
1540,Person,1,7,1
1541,Person,1,7,1
1542,Machine,1,5,1
1543,Book,3,5,2
1544,Musical instrument,3,5,2
1545,Home interior,3,2,2
1546,Pet,4,5,2
1547,Person,1,4,2
1548,Person,3,4,2
1549,Clothing,3,3,3
1550,Person,1,7,2
1551,Book,2,2,2
1552,Finger,2,2,4
1553,Table,2,2,4
1554,Table,2,2,4
1555,Pet,2,5,2
1556,Person,1,7,2
1557,Person,1,6,2
1558,Person,1,4,2
1559,Person,1,5,2
1560,Person,1,5,2
1561,Person,1,5,2
1562,Person,1,6,2
1563,Person,1,4,2
1564,Accessory,1,4,2
1565,Person,1,5,2
1566,Person,1,7,2
1567,Vehicle Plate,1,6,2
1568,Person,1,5,1
1569,Person,1,5,1
1570,Person,1,5,1
1571,Person,1,5,1
1572,Vehicle Plate,1,7,2
1573,Person,1,7,1
1574,Clothing,3,4,2
1575,Toy,3,6,2
1576,Person,1,7,2
1577,Person,1,7,2
1578,Person,1,7,2
1579,Identity,1,7,1
1580,Vehicle Plate,1,7,1
1581,Screen,1,1,1
1582,Person,1,5,2
1583,Person,1,4,2
1584,Paper&Document&Label,2,1,3
1585,Screen,1,3,1
1586,Table,3,6,3
1587,Person,1,5,2
1588,Person,1,7,2
1589,Clothing,1,4,2
1590,Person,1,7,2
1591,Person,1,7,2
1592,Identity,3,1,1
1593,Cigarettes,3,5,2
1594,Scenery,2,6,2
1595,Book,3,5,2
1596,Paper&Document&Label,3,4,2
1597,Food,3,5,2
1598,Screen,5,5,2
1599,Person,1,7,2
1600,Clothing,3,5,2
1601,Book,2,5,2
1602,Accessory,1,5,2
1603,Person,4,5,2
1604,Toy,1,4,1
1605,Clothing,3,1,4
1606,Musical instrument,3,5,2
1607,Person,1,4,1
1608,Person,1,6,1
1609,Person,1,7,1
1610,Clothing,3,6,1
1611,Person,1,7,1
1612,Person,1,7,1
1613,Person,1,7,1
1614,Toy,2,5,2
1615,Person,1,7,2
1616,Person,1,6,2
1617,Clothing,3,5,2
1618,Person,1,5,2
1619,Person,1,6,2
1620,Person,1,6,2
1621,Person,1,7,2
1622,Book,2,5,2
1623,Screen,3,7,1
1624,Paper&Document&Label,3,5,1
1625,Table,1,3,1
1626,Electronic Devices,3,2,2
1627,Home interior,3,6,2
1628,Table,3,6,2
1629,Table,3,5,2
1630,Scenery,2,4,2
1631,Person,1,5,2
1632,Person,1,5,2
1633,Person,1,5,2
1634,Person,1,5,2
1635,Cosmetics,3,5,2
1636,Person,1,5,2
1637,Accessory,2,3,2
1638,Scenery,2,7,2
1639,Paper&Document&Label,1,7,1
1640,Person,1,7,2
1641,Person,1,7,2
1642,Person,1,2,2
1643,Person,1,3,2
1644,Person,1,7,2
1645,Person,1,1,2
1646,Person,1,7,2
1647,Book,3,5,2
1648,Table,3,5,2
1649,Person,1,6,2
1650,Person,1,3,3
1651,Person,1,4,3
1652,Clothing,1,4,3
1653,Person,1,3,3
1654,Person,1,6,1
1655,Musical instrument,2,4,1
1656,Person,1,6,1
1657,Cosmetics,3,5,1
1658,Pet,1,3,3
1659,Scenery,2,2,4
1660,Person,1,5,1
1661,Musical instrument,3,3,2
1662,Clothing,3,3,2
1663,Person,1,6,1
1664,Person,1,5,1
1665,Person,1,6,1
1666,Vehicle Plate,1,7,2
1667,Pet,3,3,2
1668,Home interior,3,5,2
1669,Cigarettes,3,2,2
1670,Scenery,2,5,1
1671,Vehicle Plate,1,4,2
1672,Paper&Document&Label,3,4,2
1673,Person,1,5,2
1674,Screen,1,7,1
1675,Table,3,5,1
1676,Screen,2,4,1
1677,Screen,1,4,1
1678,Place Identifier,2,2,2
1679,Person,4,5,2
1680,Food,2,4,3
1681,Scenery,2,3,3
1682,Pet,2,4,3
1683,Home interior,3,5,2
1684,Person,2,2,3
1685,Person,2,2,2
1686,Clothing,2,2,3
1687,Person,2,2,3
1688,Person,2,2,3
1689,Electronic Devices,3,2,4
1690,Screen,3,5,3
1691,Clothing,1,5,2
1692,Accessory,1,5,2
1693,Person,1,7,2
1694,Musical instrument,3,2,3
1695,Person,3,4,2
1696,Person,1,5,1
1697,Food,3,5,1
1698,Paper&Document&Label,3,4,1
1699,Food,3,5,1
1700,Food,3,5,1
1701,Screen,3,4,2
1702,Book,3,4,2
1703,Person,1,6,2
1704,Person,1,7,2
1705,Person,1,5,2
1706,Person,1,5,2
1707,Person,1,5,2
1708,Person,1,6,2
1709,Person,1,7,2
1710,Screen,2,6,1
1711,Person,1,7,1
1712,Vehicle Plate,1,7,1
1713,Person,1,7,2
1714,Person,1,2,3
1715,Person,1,5,3
1716,Person,1,4,3
1717,Person,1,6,3
1718,Paper&Document&Label,1,7,1
1719,Clothing,4,5,1
1720,Food,2,3,2
1721,Accessory,3,1,2
1722,Vehicle Plate,1,7,2
1723,Musical instrument,3,6,3
1724,Pet,4,7,3
1725,Home interior,2,2,3
1726,Clothing,3,4,2
1727,Accessory,1,2,3
1728,Pet,3,4,1
1729,Screen,3,4,1
1730,Pet,3,5,2
1731,Clothing,3,5,2
1732,Person,3,4,2
1733,Person,3,4,2
1734,Identity,2,4,3
1735,Paper&Document&Label,3,5,2
1736,Clothing,2,3,2
1737,Cigarettes,3,3,2
1738,Scenery,2,4,2
1739,Screen,2,4,1
1740,Toy,2,4,1
1741,Person,1,6,2
1742,Accessory,3,4,3
1743,Electronic Devices,3,4,3
1744,Home interior,3,4,3
1745,Person,1,4,2
1746,Book,3,5,2
1747,Person,1,6,2
1748,Scenery,2,5,2
1749,Clothing,3,5,2
1750,Person,2,6,2
1751,Person,1,5,2
1752,Clothing,3,5,2
1753,Person,1,5,2
1754,Person,1,5,2
1755,Person,3,5,2
1756,Person,1,6,2
1757,Person,1,6,2
1758,Table,1,4,1
1759,Person,1,7,1
1760,Person,1,6,1
1761,Person,1,7,1
1762,Person,1,6,1
1763,Person,1,3,1
1764,Book,3,4,3
1765,Cosmetics,3,2,3
1766,Screen,3,5,1
1767,Table,3,5,2
1768,Screen,3,5,2
1769,Cigarettes,3,3,1
1770,Scenery,2,6,2
1771,Electronic Devices,2,4,2
1772,Book,3,5,2
1773,Screen,5,6,1
1774,Table,2,1,2
1775,Scenery,2,2,3
1776,Place Identifier,2,2,3
1777,Screen,3,2,1
1778,Person,4,5,2
1779,Person,4,5,2
1780,Screen,3,3,3
1781,Electronic Devices,3,2,3
1782,Paper&Document&Label,3,4,1
1783,Pet,3,7,1
1784,Vehicle Plate,1,7,1
1785,Clothing,1,4,2
1786,Person,1,3,3
1787,Book,3,5,3
1788,Person,1,7,2
1789,Pet,3,2,3
1790,Screen,3,3,3
1791,Person,1,7,1
1792,Person,1,7,1
1793,Place Identifier,2,7,1
1794,Person,1,7,2
1795,Person,1,6,1
1796,Person,1,6,1
1797,Accessory,1,5,1
1798,Person,1,4,2
1799,Person,1,6,1
1800,Person,1,5,1
1801,Person,1,3,3
1802,Person,1,5,2
1803,Person,1,6,1
1804,Paper&Document&Label,5,4,2
1805,Finger,2,5,1
1806,Person,4,2,2
1807,Person,2,3,2
1808,Person,2,3,2
1809,Person,1,7,1
1810,Person,1,7,1
1811,Accessory,1,6,1
1812,Person,1,7,1
1813,Person,1,6,1
1814,Clothing,1,5,1
1815,Person,1,5,1
1816,Person,1,7,1
1817,Person,1,4,1
1818,Person,1,5,1
1819,Person,1,7,1
1820,Musical instrument,3,3,3
1821,Accessory,1,3,3
1822,Place Identifier,2,2,3
1823,Person,1,5,1
1824,Identity,1,2,2
1825,Musical instrument,1,7,1
1826,Clothing,5,7,1
1827,Person,1,6,1
1828,Person,1,7,1
1829,Book,3,4,3
1830,Screen,3,4,2
1831,Person,2,3,3
1832,Food,3,2,3
1833,Cigarettes,3,2,1
1834,Table,2,7,1
1835,Screen,3,7,1
1836,Screen,5,7,1
1837,Machine,3,6,1
1838,Person,1,4,3
1839,Person,1,3,3
1840,Person,1,7,2
1841,Scenery,2,3,3
1842,Person,1,7,1
1843,Clothing,1,3,1
1844,Person,1,7,1
1845,Person,1,7,1
1846,Person,1,3,2
1847,Person,1,7,1
1848,Finger,2,2,2
1849,Clothing,3,2,2
1850,Person,1,6,1
1851,Person,1,6,1
1852,Person,1,7,1
1853,Musical instrument,3,2,1
1854,Machine,2,4,3
1855,Accessory,3,2,2
1856,Clothing,1,3,2
1857,Person,1,5,1
1858,Accessory,1,5,2
1859,Person,1,4,1
1860,Book,3,5,3
1861,Identity,5,5,3
1862,Vehicle Plate,1,7,1
1863,Person,1,4,3
1864,Clothing,1,4,2
1865,Person,1,6,1
1866,Person,1,6,1
1867,Clothing,4,3,2
1868,Person,1,4,1
1869,Person,1,4,1
1870,Person,1,6,1
1871,Person,1,6,1
1872,Person,1,6,2
1873,Person,1,6,2
1874,Scenery,2,5,3
1875,Clothing,1,5,2
1876,Person,1,5,2
1877,Table,3,5,2
1878,Person,1,6,2
1879,Person,1,6,2
1880,Person,1,4,2
1881,Person,1,7,2
1882,Scenery,2,4,3
1883,Pet,3,5,2
1884,Person,1,6,2
1885,Person,1,5,3
1886,Photo,1,5,3
1887,Person,1,7,1
1888,Person,1,7,1
1889,Person,1,2,2
1890,Person,1,7,1
1891,Person,1,2,1
1892,Person,1,7,1
1893,Person,1,3,1
1894,Person,1,7,1
1895,Clothing,1,2,2
1896,Accessory,1,1,3
1897,Person,1,7,1
1898,Person,1,6,2
1899,Person,1,6,2
1900,Home interior,3,2,1
1901,Screen,3,5,1
1902,Finger,2,2,2
1903,Person,1,5,1
1904,Person,1,7,1
1905,Person,1,6,1
1906,Place Identifier,2,6,1
1907,Person,1,7,2
1908,Person,1,5,1
1909,Clothing,1,7,2
1910,Person,1,7,2
1911,Person,1,5,1
1912,Person,1,5,2
1913,Person,1,6,2
1914,Person,1,7,2
1915,Electronic Devices,2,5,2
1916,Screen,1,7,1
1917,Scenery,2,7,1
1918,Screen,3,3,3
1919,Person,1,7,2
1920,Screen,3,6,1
1921,Clothing,3,4,2
1922,Person,1,5,2
1923,Screen,3,5,2
1924,Person,1,5,2
1925,Person,1,7,1
1926,Home interior,5,1,3
1927,Person,1,7,1
1928,Place Identifier,1,6,1
1929,Person,1,5,2
1930,Person,1,7,1
1931,Clothing,1,5,2
1932,Person,1,7,1
1933,Person,1,7,1
1934,Person,1,7,1
1935,Person,1,6,2
1936,Musical instrument,2,5,2
1937,Vehicle Plate,1,7,1
1938,Person,1,7,1
1939,Person,1,5,2
1940,Person,1,6,2
1941,Clothing,3,2,3
1942,Person,1,6,1
1943,Person,1,7,1
1944,Person,1,5,2
1945,Person,1,5,2
1946,Person,4,7,1
1947,Person,4,7,1
1948,Scenery,2,6,1
1949,Finger,2,3,1
1950,Table,2,3,1
1951,Accessory,1,5,2
1952,Clothing,1,5,2
1953,Person,1,6,2
1954,Musical instrument,3,6,3
1955,Clothing,3,6,2
1956,Person,1,7,2
1957,Person,1,7,2
1958,Food,3,3,2
1959,Book,3,5,2
1960,Person,1,6,1
1961,Musical instrument,1,5,1
1962,Clothing,3,5,1
1963,Person,1,6,1
1964,Person,1,5,1
1965,Person,1,5,1
1966,Person,1,5,1
1967,Person,1,6,1
1968,Scenery,2,7,2
1969,Person,1,7,1
1970,Cigarettes,3,6,1
1971,Person,1,6,2
1972,Person,1,7,2
1973,Person,1,7,2
1974,Person,1,7,2
1975,Person,1,5,2
1976,Clothing,1,4,2
1977,Person,1,7,2
1978,Person,1,3,2
1979,Person,1,7,2
1980,Place Identifier,2,4,2
1981,Table,4,5,2
1982,Vehicle Plate,1,4,1
1983,Person,1,5,1
1984,Person,1,5,1
1985,Place Identifier,2,5,1
1986,Person,1,6,2
1987,Person,3,2,3
1988,Finger,3,4,1
1989,Table,3,4,1
1990,Home interior,3,4,1
1991,Place Identifier,2,5,3
1992,Screen,3,5,2
1993,Screen,1,6,2
1994,Person,1,6,2
1995,Musical instrument,3,5,2
1996,Clothing,1,6,2
1997,Person,1,7,1
1998,Electronic Devices,3,5,2
1999,Person,1,7,1
2000,Clothing,1,5,1
2001,Person,1,4,1
2002,Electronic Devices,1,4,1
2003,Clothing,1,5,2
2004,Person,1,6,1
2005,Person,1,5,2
2006,Person,1,7,1
2007,Person,1,7,1
2008,Person,1,7,1
2009,Person,1,5,3
2010,Person,1,7,1
2011,Clothing,4,5,2
2012,Person,1,5,1
2013,Person,1,5,1
2014,Person,4,6,2
2015,Paper&Document&Label,3,1,3
2016,Identity,1,2,2
2017,Place Identifier,2,7,2
2018,Place Identifier,2,5,3
2019,Place Identifier,2,5,2
2020,Musical instrument,3,2,3
2021,Person,2,5,1
2022,Person,1,4,1
2023,Pet,1,5,2
2024,Accessory,1,2,2
2025,Accessory,1,2,2
2026,Paper&Document&Label,2,7,2
2027,Book,2,6,3
2028,Screen,1,6,1
2029,Place Identifier,2,7,3
2030,Person,1,4,3
2031,Screen,3,3,2
2032,Pet,1,5,2
2033,Accessory,1,1,3
2034,Person,1,7,2
2035,Person,1,6,2
2036,Person,1,7,2
2037,Person,1,6,2
2038,Clothing,3,5,3
2039,Person,1,5,2
2040,Person,1,7,2
2041,Person,1,6,2
2042,Person,1,2,2
2043,Person,1,6,2
2044,Screen,3,5,2
2045,Person,1,3,2
2046,Person,1,7,2
2047,Table,2,4,3
2048,Person,1,6,2
2049,Person,3,6,2
2050,Person,1,5,2
2051,Person,1,5,1
2052,Clothing,3,3,3
2053,Person,2,5,2
2054,Person,1,5,2
2055,Person,1,3,2
2056,Person,1,5,1
2057,Person,1,5,2
2058,Person,1,5,2
2059,Person,1,5,2
2060,Scenery,5,4,3
2061,Screen,5,5,2
2062,Person,1,7,2
2063,Screen,4,5,1
2064,Machine,3,5,1
2065,Screen,1,6,1
2066,Clothing,3,6,1
2067,Screen,5,4,1
2068,Screen,5,5,1
2069,Person,1,6,1
2070,Person,1,6,1
2071,Person,1,6,1
2072,Clothing,1,6,1
2073,Person,1,6,1
2074,Person,1,6,1
2075,Vehicle Plate,1,5,2
2076,Musical instrument,3,6,3
2077,Paper&Document&Label,3,5,3
2078,Scenery,2,7,2
2079,Place Identifier,2,7,2
2080,Food,3,1,4
2081,Person,1,7,1
2082,Screen,1,4,1
2083,Book,3,5,1
2084,Screen,2,7,1
2085,Pet,1,5,1
2086,Book,3,5,1
2087,Person,1,5,3
2088,Person,1,4,2
2089,Person,1,5,2
2090,Person,1,4,2
2091,Vehicle Plate,1,5,2
2092,Machine,5,2,1
2093,Machine,3,7,2
2094,Person,1,6,1
2095,Person,1,5,3
2096,Person,1,5,3
2097,Screen,1,5,3
2098,Person,1,5,3
2099,Person,1,5,3
2100,Person,1,5,3
2101,Person,1,5,3
2102,Person,1,5,3
2103,Person,1,5,3
2104,Person,1,6,3
2105,Accessory,1,4,1
2106,Screen,5,5,1
2107,Screen,5,5,1
2108,Vehicle Plate,1,6,2
2109,Person,1,5,2
2110,Accessory,1,5,2
2111,Person,1,4,2
2112,Person,1,4,2
2113,Person,5,4,2
2114,Vehicle Plate,1,7,1
2115,Person,1,6,2
2116,Finger,2,7,1
2117,Person,1,1,1
2118,Person,1,7,2
2119,Clothing,3,7,1
2120,Person,1,7,1
2121,Person,1,7,1
2122,Table,2,7,1
2123,Person,1,7,1
2124,Person,1,7,1
2125,Person,1,7,2
2126,Food,2,5,2
2127,Person,1,5,2
2128,Person,1,5,2
2129,Person,1,5,2
2130,Person,2,5,2
2131,Clothing,2,6,2
2132,Photo,2,5,2
2133,Person,2,6,2
2134,Screen,3,7,1
2135,Person,1,6,2
2136,Person,1,6,2
2137,Pet,3,4,2
2138,Vehicle Plate,1,4,1
2139,Place Identifier,4,5,3
2140,Screen,4,7,2
2141,Vehicle Plate,1,7,1
2142,Person,1,6,1
2143,Person,1,6,2
2144,Place Identifier,2,4,1
2145,Person,1,6,3
2146,Person,1,6,3
2147,Clothing,1,5,3
2148,Person,1,5,3
2149,Person,1,6,3
2150,Person,1,6,3
2151,Person,1,6,3
2152,Pet,3,5,1
2153,Book,3,2,1
2154,Finger,2,5,3
2155,Person,1,6,2
2156,Paper&Document&Label,2,5,3
2157,Pet,1,6,2
2158,Finger,2,5,2
2159,Cigarettes,1,4,2
2160,Clothing,1,5,2
2161,Accessory,2,4,2
2162,Screen,3,7,1
2163,Accessory,1,3,3
2164,Clothing,1,3,2
2165,Scenery,2,5,2
2166,Place Identifier,3,5,1
2167,Person,1,7,1
2168,Person,1,7,1
2169,Person,1,7,1
2170,Person,1,7,1
2171,Person,1,5,1
2172,Person,1,7,1
2173,Person,1,7,1
2174,Person,1,4,2
2175,Person,1,7,2
2176,Person,1,7,2
2177,Person,1,5,2
2178,Vehicle Plate,1,7,1
2179,Pet,1,6,1
2180,Book,3,5,3
2181,Identity,1,5,1
2182,Vehicle Plate,2,5,2
2183,Person,1,5,1
2184,Photo,3,7,2
2185,Person,4,7,2
2186,Person,4,7,2
2187,Person,4,7,2
2188,Toy,4,4,2
2189,Person,1,5,1
2190,Person,1,5,1
2191,Person,1,4,1
2192,Person,1,4,1
2193,Accessory,1,5,2
2194,Vehicle Plate,5,4,2
2195,Scenery,2,1,2
2196,Person,1,5,2
2197,Person,1,5,2
2198,Person,1,5,2
2199,Vehicle Plate,1,3,2
2200,Person,1,7,2
2201,Person,1,7,2
2202,Photo,4,6,1
2203,Pet,4,7,3
